test_num,total_gpu,bw_type,cluster_type,if_dynamic,BandDisp,BandDisp_time,Default,Default_time,Tree,Tree_time,EHA,EHA_time,Topo,Topo_time,Random,Random_time,UpperBandDisp,UpperBandDisp_time
2,32,1111,Het-4Mix,True,122.92839999999998,0.013102679252624512,175.7214,2.079963684082031e-05,134.27939999999998,0.007816033363342285,122.9402,0.004739871025085449,123.62239999999998,0.0007149839401245117,195.15039999999996,2.196311950683594e-05,122.92839999999998,0.0021345901489257814
3,32,1111,Het-4Mix,True,159.83,0.013856449127197266,197.6886,2.2363662719726562e-05,172.6286,0.008715085983276367,149.0804,0.004621815681457519,149.3856,0.0027397632598876952,211.39759999999995,2.315521240234375e-05,148.611,0.0019417905807495117
4,32,1111,Het-4Mix,True,154.91219999999998,0.013862667083740234,197.77360000000002,2.4085044860839843e-05,170.89419999999998,0.007857208251953124,150.2594,0.005378828048706054,152.355,0.005994110107421875,214.3376,2.4685859680175783e-05,149.00439999999998,0.0016992330551147462
5,32,1111,Het-4Mix,True,126.88779999999998,0.04233985900878906,159.1934,3.072261810302735e-05,160.59279999999998,0.031216444969177245,126.53020000000001,0.00852614402770996,131.4066,0.004901385307312012,176.1808,2.639293670654297e-05,123.62219999999999,0.0038979387283325194
6,32,1111,Het-4Mix,True,124.89640000000001,0.04270873546600342,153.0954,3.099918365478516e-05,143.13980000000004,0.024145331382751465,125.0634,0.015916838645935058,135.4088,0.003736748695373535,171.2566,2.6345252990722656e-05,123.52,0.003826427459716797
7,32,1111,Het-4Mix,True,122.5114,0.04737249851226807,142.8472,3.227710723876953e-05,136.4506,0.0195436954498291,122.5772,0.025367436408996583,129.82659999999998,0.0015589380264282226,158.8796,2.5796890258789063e-05,119.92779999999999,0.004178681373596191
8,32,1111,Het-4Mix,True,119.22099999999999,0.054142093658447264,143.5734,3.2095909118652345e-05,128.1722,0.01917165279388428,119.707,0.03297449111938477,130.8306,0.0002878665924072266,155.4416,2.529144287109375e-05,117.734,0.005054745674133301
9,32,1111,Het-4Mix,True,107.39659999999999,0.15902231216430665,119.271,3.692150115966797e-05,114.81,0.04863036632537842,107.49119999999999,0.10738886356353759,119.13600000000001,2.476692199707031e-05,121.92120000000001,2.9420852661132814e-05,85.6426,0.02066681385040283
10,32,1111,Het-4Mix,True,87.184,0.13791456699371338,116.1468,3.838539123535156e-05,115.73939999999999,0.04682795524597168,87.83879999999999,0.08813203334808349,116.18140000000001,2.507209777832031e-05,123.34800000000001,2.9950141906738282e-05,87.29039999999999,0.01787688732147217
11,32,1111,Het-4Mix,True,82.78160000000001,0.11202675342559815,112.833,3.842353820800781e-05,111.3034,0.04166352272033692,83.20320000000001,0.06697743415832519,112.7886,2.521991729736328e-05,117.65780000000001,3.0088424682617188e-05,82.82680000000002,0.01321767807006836
12,32,1111,Het-4Mix,True,83.1294,0.09140080451965332,107.23200000000001,3.917217254638672e-05,105.9636,0.03795228481292725,83.9048,0.05011899471282959,107.98939999999999,2.5167465209960938e-05,110.89040000000001,2.9549598693847656e-05,83.31320000000001,0.009902043342590332
13,32,1111,Het-4Mix,True,83.00200000000001,0.09021839618682861,107.33120000000001,3.997802734375e-05,106.23580000000001,0.037193822860717776,83.649,0.04950339794158935,107.17640000000002,2.6230812072753905e-05,109.93439999999998,3.055572509765625e-05,83.2,0.009182004928588868
14,32,1111,Het-4Mix,True,80.62,0.08958664894104004,103.06379999999999,4.100799560546875e-05,101.97619999999999,0.03707341194152832,81.1784,0.049430017471313474,102.9438,2.6221275329589845e-05,105.49680000000001,3.0660629272460936e-05,80.8918,0.009307560920715332
15,32,1111,Het-4Mix,True,78.048,0.08974641799926758,99.7042,4.1651725769042966e-05,95.90620000000001,0.0370950984954834,78.65419999999999,0.04915010452270508,99.5064,2.642631530761719e-05,99.57819999999998,3.009319305419922e-05,78.3754,0.009771232604980468
16,32,1111,Het-4Mix,True,83.27980000000001,0.1036512804031372,100.2288,4.1909217834472657e-05,95.7208,0.03543385028839111,83.9918,0.06479463577270508,100.08420000000002,2.6702880859375e-05,99.54260000000001,3.071308135986328e-05,83.57840000000002,0.01218935489654541
17,32,1111,Het-4Mix,True,77.6774,0.22170379161834716,90.5618,4.363536834716797e-05,84.99860000000001,0.03435776710510254,78.179,0.18403067588806152,90.3466,2.6965141296386717e-05,89.0174,3.0298233032226562e-05,77.8554,0.03277533054351807
18,32,1111,Het-4Mix,True,82.9526,0.15280194759368895,94.97180000000002,4.4465065002441406e-05,89.9034,0.033802151679992676,83.30300000000001,0.11532692909240723,94.75660000000002,2.723217010498047e-05,93.95620000000001,3.091812133789063e-05,83.0768,0.021296181678771973
19,32,1111,Het-4Mix,True,87.272,0.15295528888702392,96.7862,4.463672637939453e-05,93.02879999999999,0.03138902187347412,87.853,0.11788066387176514,96.59159999999999,2.7909278869628907e-05,97.0256,3.094196319580078e-05,87.38479999999998,0.02035571575164795
20,32,1111,Het-4Mix,True,85.3258,0.11186911106109619,94.2108,4.4875144958496093e-05,89.9742,0.03025217056274414,86.1464,0.07790382862091065,94.1252,2.7709007263183593e-05,94.0016,3.085136413574219e-05,85.6398,0.014398002624511718
21,32,1111,Het-4Mix,True,83.59280000000001,0.07652178764343262,90.94879999999999,4.5781135559082034e-05,87.27220000000001,0.025870828628540038,84.51100000000001,0.04746030807495117,90.90879999999999,2.8071403503417968e-05,91.47000000000001,3.131866455078125e-05,84.01639999999999,0.009150233268737793
22,32,1111,Het-4Mix,True,83.5742,0.08682389259338379,90.86319999999999,4.633426666259766e-05,86.53900000000002,0.025490174293518065,84.5598,0.058180379867553714,90.73939999999999,2.8409957885742187e-05,90.6506,3.13568115234375e-05,83.96039999999999,0.010875339508056641
23,32,1111,Het-4Mix,True,82.8304,0.09059335231781006,88.8532,4.741191864013672e-05,84.1084,0.024057188034057618,84.06900000000002,0.06328561305999755,88.86319999999999,2.8676986694335938e-05,88.3186,3.119468688964844e-05,83.31779999999999,0.012099995613098144
24,32,1111,Het-4Mix,True,85.963,0.06606615543365478,92.15620000000001,4.761219024658203e-05,86.89020000000001,0.022755727767944336,87.61200000000002,0.039868226051330564,92.15980000000002,2.936840057373047e-05,91.09299999999999,3.154754638671875e-05,86.4478,0.009282326698303223
25,32,1111,Het-4Mix,True,82.67660000000002,0.14602879524230958,87.46279999999999,4.897117614746094e-05,82.775,0.016371941566467284,83.445,0.12701383113861084,87.3928,3.0198097229003905e-05,85.90320000000001,3.064632415771484e-05,83.3308,0.023215222358703613
26,32,1111,Het-4Mix,True,86.73279999999998,0.1371073865890503,90.15559999999998,4.842281341552734e-05,86.8424,0.014234390258789063,87.48919999999998,0.11982577323913574,90.15559999999998,3.039360046386719e-05,89.72599999999998,3.0827522277832034e-05,87.37579999999998,0.020910210609436035
27,32,1111,Het-4Mix,True,90.08980000000001,0.08856548309326172,92.7666,4.8346519470214844e-05,90.1434,0.012437634468078614,91.19019999999999,0.07419616222381592,92.765,3.074169158935547e-05,92.20819999999999,3.0469894409179687e-05,90.09260000000002,0.013102717399597168
28,32,1111,Het-4Mix,True,88.91599999999998,0.04643547058105469,91.31880000000001,4.787445068359375e-05,89.0034,0.009890122413635254,89.6866,0.03484941005706787,91.289,3.062248229980469e-05,90.8634,3.0531883239746094e-05,88.9488,0.006387534141540527
29,32,1111,Het-4Mix,True,92.4016,0.03850973606109619,93.82259999999998,4.7965049743652345e-05,92.53740000000002,0.006509342193603516,92.4016,0.03096537113189697,93.79599999999999,3.0450820922851562e-05,93.5834,3.108501434326172e-05,92.38380000000001,0.004647383689880371
30,32,1111,Het-4Mix,True,92.09819999999999,0.024262666702270508,93.3194,4.690647125244141e-05,92.1512,0.004284987449645996,92.09819999999999,0.019631733894348146,93.3194,3.1251907348632815e-05,93.07239999999997,3.095149993896484e-05,92.09819999999999,0.0026799535751342776
31,32,1111,Het-4Mix,True,91.21519999999997,0.011168937683105468,91.8884,4.6234130859375e-05,91.25479999999999,0.0022718477249145507,91.21519999999997,0.009466919898986816,91.8884,3.166675567626953e-05,91.74240000000002,3.1003952026367186e-05,91.21519999999997,0.0011290979385375976
