test_num,total_gpu,bw_type,cluster_type,if_dynamic,BandDisp,BandDisp_time,Default,Default_time,Tree,Tree_time,EHA,EHA_time,Topo,Topo_time,Random,Random_time,UpperBandDisp,UpperBandDisp_time
2,32,20,H100_26H100_27H100_28H100_29,True,100.0,0.014496288299560546,100.0,3.396987915039062e-05,100.0,0.013061013221740723,100.0,0.0004671955108642578,100.0,0.000764455795288086,36.643080226429824,2.2096633911132814e-05,100.0,0.0009506416320800782
3,32,20,H100_26H100_27H100_28H100_29,True,100.0,0.015289297103881836,100.0,3.5200119018554684e-05,75.31749073719178,0.01431190013885498,100.0,0.000293731689453125,100.0,0.002888784408569336,29.05949491077893,2.2635459899902343e-05,100.0,0.0010814762115478516
4,32,20,H100_26H100_27H100_28H100_29,True,92.56374450478407,0.015357937812805176,92.56374450478407,3.511905670166016e-05,70.81437143416642,0.013630452156066895,96.34031549004396,0.0010468435287475585,96.34031549004396,0.005289893150329589,28.24051999096649,2.4566650390625e-05,100.0,0.0009883880615234376
5,32,20,H100_26H100_27H100_28H100_29,True,90.45470909233681,0.03649719715118408,88.88918637513014,4.388809204101563e-05,61.759819015335324,0.030988664627075196,92.24364123159303,0.0019268989562988281,92.24364123159303,0.005950284004211426,39.21705872316497,2.7513504028320314e-05,100.0,0.0025279569625854493
6,32,20,H100_26H100_27H100_28H100_29,True,88.13559110314498,0.0362050724029541,74.71387558599105,4.7807693481445315e-05,73.21079055507661,0.029334721565246583,87.96178722662341,0.002376823425292969,84.01281199227047,0.0034563732147216797,34.54819247681183,2.7618408203125e-05,100.0,0.00247255802154541
7,32,20,H100_26H100_27H100_28H100_29,True,89.41174505053881,0.04074442386627197,65.65489826377757,5.2013397216796874e-05,56.11503550980264,0.03202056407928467,89.41174505053881,0.003279776573181152,78.45183908714942,0.0009052515029907227,37.96681495958244,2.7904510498046876e-05,100.0,0.0028096914291381838
8,32,20,H100_26H100_27H100_28H100_29,True,97.06795503860056,0.038410401344299315,56.537955874375214,5.853652954101563e-05,75.75344268330745,0.028790359497070313,96.22985461502216,0.0037536907196044924,73.101050504783,0.00019126415252685548,41.28355439869971,2.7585029602050782e-05,100.0,0.0026848363876342774
9,32,20,H100_26H100_27H100_28H100_29,True,98.58540428274726,0.06939756870269775,40.604992391449336,6.331920623779296e-05,60.7892994555074,0.055657081604003907,98.43800311951236,0.005175971984863281,65.64172689151086,2.3608207702636718e-05,45.626004759100816,3.0126571655273437e-05,100.0,0.005316071510314942
10,32,20,H100_26H100_27H100_28H100_29,True,99.98190301145199,0.06583615303039551,41.56540345860938,6.391525268554687e-05,61.34340958574733,0.052710251808166506,99.98190301145199,0.004971508979797363,77.51557679484951,2.4542808532714843e-05,48.720573932648406,3.003120422363281e-05,100.0,0.005532026290893555
11,32,20,H100_26H100_27H100_28H100_29,True,96.44801069876296,0.06421774387359619,45.29400911260811,6.449222564697266e-05,59.99755052720509,0.05094964981079102,96.44801069876296,0.004921584129333496,90.87273752681023,2.437114715576172e-05,50.379037484376255,2.9668807983398437e-05,100.0,0.0055073356628417966
