repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
8,BandDisp,model_prediction,3,2,"[0,2,0,0]",206.97,206.97,204.92,204.92,1.0,886.7799999999999,4
8,BandDisp,model_prediction,4,6,"[0,6,0,0]",230.14,230.14,232.24,232.24,1.0,1119.02,5
8,BandDisp,model_prediction,5,12,"[0,0,8,4]",138.58026123046875,138.58026123046875,141.27,141.27,1.0,1260.29,6
9,BandDisp,model_prediction,0,2,"[2,0,0,0]",207.4,207.4,204.92,204.92,1.0,204.92,1
9,BandDisp,model_prediction,1,4,"[0,4,0,0]",242.6,242.6,244.7,244.7,1.0,449.62,2
9,BandDisp,model_prediction,2,2,"[2,0,0,0]",206.85,206.85,204.92,204.92,1.0,654.54,3
9,BandDisp,model_prediction,3,2,"[0,0,2,0]",204.01,204.01,204.92,204.92,1.0,859.4599999999999,4
9,BandDisp,model_prediction,4,2,"[0,0,2,0]",205.96,205.96,204.92,204.92,1.0,1064.3799999999999,5
9,BandDisp,model_prediction,5,10,"[3,3,3,1]",40.721187591552734,40.721187591552734,42.95,42.95,1.0,1107.33,6
9,BandDisp,model_prediction,6,10,"[1,1,1,7]",233.82,69.28809469835868,40.9,40.9,1.0,1148.23,7
10,BandDisp,model_prediction,0,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,232.24,1
10,BandDisp,model_prediction,1,10,"[4,0,0,6]",137.5291290283203,137.5291290283203,142.12,142.12,1.0,374.36,2
10,BandDisp,model_prediction,2,4,"[0,4,0,0]",242.6,242.6,244.7,244.7,1.0,619.06,3
10,BandDisp,model_prediction,3,10,"[2,4,2,2]",68.4362564086914,20.3244803365469,70.73,19.947953488372093,0.2820295983086681,536.97,4
10,BandDisp,model_prediction,4,2,"[2,0,0,0]",206.06,206.06,204.92,204.92,1.0,741.89,5
11,BandDisp,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
11,BandDisp,model_prediction,1,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,476.94,2
11,BandDisp,model_prediction,2,10,"[4,6,0,0]",138.30316162109375,138.30316162109375,142.12,142.12,1.0,619.06,3
