test_num,total_gpu,bw_type,cluster_type,if_dynamic,BandDisp,BandDisp_time,Default,Default_time,Tree,Tree_time,EHA,EHA_time,Topo,Topo_time,Random,Random_time,UpperBandDisp,UpperBandDisp_time
2,32,1111,H100_26H100_27H100_28H100_29,True,0.0,0.016483416557312013,0.0,2.0756721496582032e-05,0.0,0.011283917427062988,0.0,0.004630029201507568,0.0,0.0006914138793945312,126.50200000000004,2.2377967834472656e-05,0.0,0.002216494083404541
3,32,1111,H100_26H100_27H100_28H100_29,True,0.0,0.015882837772369384,0.0,2.2051334381103514e-05,50.229399999999984,0.011168982982635498,0.0,0.004216880798339844,0.0,0.0024904561042785643,159.0098,2.2871494293212892e-05,0.0,0.001975088119506836
4,32,1111,H100_26H100_27H100_28H100_29,True,5.3635,0.017867724895477295,3.5380000000000003,2.3956298828125e-05,50.26010000000001,0.010563373565673828,3.5380000000000003,0.00682520866394043,3.5380000000000003,0.005076384544372559,169.22039999999993,2.371788024902344e-05,0.0,0.001838529109954834
5,32,1111,H100_26H100_27H100_28H100_29,True,5.199000000000001,0.04644678115844727,4.353300000000002,3.053903579711914e-05,98.38729999999995,0.03499784469604492,4.353300000000002,0.008835821151733399,4.353300000000002,0.004584827423095703,139.24219999999997,2.6051998138427733e-05,0.0,0.004191429615020752
6,32,1111,H100_26H100_27H100_28H100_29,True,10.004100000000001,0.04744898796081543,15.0924,3.1239986419677735e-05,67.7425,0.03319244146347046,9.677,0.012804820537567138,15.0924,0.003356153964996338,138.17280000000002,2.630949020385742e-05,0.0,0.004208137989044189
7,32,1111,H100_26H100_27H100_28H100_29,True,10.298599999999999,0.054476182460784915,19.026899999999998,3.190755844116211e-05,72.5592,0.029170982837677002,10.298599999999999,0.022515313625335695,19.026899999999998,0.0013478660583496093,129.39319999999998,2.6381015777587892e-05,0.0,0.004920370578765869
8,32,1111,H100_26H100_27H100_28H100_29,True,14.229600000000003,0.06483736038208007,29.389300000000013,3.2460689544677736e-05,32.4673,0.02189155578613281,14.553200000000002,0.04076739072799682,29.389300000000013,0.00028293609619140626,115.4262,2.5432109832763672e-05,0.0,0.006576650142669678
9,32,1111,H100_26H100_27H100_28H100_29,True,39.504,0.18109345197677612,56.3895,3.777027130126953e-05,56.73919999999999,0.05413151025772095,39.61,0.12382672786712647,56.3895,2.4983882904052736e-05,74.0505,2.9580593109130858e-05,0.0,0.023105695247650146
10,32,1111,H100_26H100_27H100_28H100_29,True,0.003200000000000074,0.16315203189849853,35.301300000000005,3.78727912902832e-05,58.64680000000001,0.05380234956741333,0.011100000000000136,0.10603581190109253,35.301300000000005,2.4950504302978517e-05,75.9657,2.986907958984375e-05,0.0,0.02082648754119873
11,32,1111,H100_26H100_27H100_28H100_29,True,0.0,0.1408980083465576,13.960700000000006,3.808975219726562e-05,57.62950000000003,0.050063841342926026,0.0,0.08754248142242432,13.960700000000006,2.5026798248291015e-05,70.8571,2.9838085174560548e-05,0.0,0.0168479323387146
12,32,1111,H100_26H100_27H100_28H100_29,True,0.6493000000000003,0.11330942869186401,13.452400000000003,3.865480422973633e-05,37.39020000000001,0.0450818395614624,0.6493000000000003,0.0647277855873108,13.452400000000003,2.5103092193603517e-05,63.63640000000001,2.9816627502441407e-05,0.0014000000000000056,0.01269803285598755
13,32,1111,H100_26H100_27H100_28H100_29,True,3.0229000000000057,0.10893812656402588,16.524000000000004,4.010915756225586e-05,42.9938,0.04222655534744263,3.0229000000000057,0.06331704616546631,16.524000000000004,2.556324005126953e-05,64.65369999999999,2.989768981933594e-05,0.0,0.011324412822723388
14,32,1111,H100_26H100_27H100_28H100_29,True,1.0389999999999966,0.09634275197982788,12.9933,4.0295124053955076e-05,40.03679999999999,0.039415230751037596,1.0389999999999966,0.05346716403961182,12.9933,2.5954246520996094e-05,50.34149999999999,3.049612045288086e-05,0.0,0.009915947914123535
15,32,1111,H100_26H100_27H100_28H100_29,True,1.9559999999999969,0.09111723899841309,15.501199999999999,4.226446151733399e-05,32.23480000000001,0.037418715953826905,1.9559999999999969,0.05015812158584595,15.501199999999999,2.6183128356933592e-05,41.62339999999999,3.0364990234375e-05,0.5586999999999996,0.009865925312042237
16,32,1111,H100_26H100_27H100_28H100_29,True,0.19759999999999997,0.106530921459198,17.890799999999995,4.216432571411133e-05,27.7297,0.034845054149627686,0.20939999999999992,0.06867050647735595,17.890799999999995,2.6421546936035155e-05,40.1502,3.083229064941406e-05,0.0,0.01244081974029541
17,32,1111,H100_26H100_27H100_28H100_29,True,3.9877,0.20975382566452028,31.660400000000003,4.337310791015625e-05,11.4719,0.032282261848449706,4.169099999999999,0.17418439388275148,31.660400000000003,2.6824474334716798e-05,24.133999999999997,3.068685531616211e-05,0.0,0.030284864902496336
18,32,1111,H100_26H100_27H100_28H100_29,True,2.7857000000000003,0.12914963006973268,28.1954,4.374265670776367e-05,15.969200000000003,0.029700829982757568,3.021300000000001,0.09626354455947876,28.1954,2.7029514312744142e-05,24.468999999999998,3.062725067138672e-05,0.08769999999999996,0.017481701374053957
19,32,1111,H100_26H100_27H100_28H100_29,True,0.4592000000000006,0.12205527544021606,17.849,4.421472549438476e-05,15.176699999999999,0.026602725982666015,0.5414000000000005,0.09189680814743043,17.849,2.704143524169922e-05,22.0648,3.089427947998047e-05,0.08209999999999994,0.015395863056182861
20,32,1111,H100_26H100_27H100_28H100_29,True,0.23180000000000092,0.08693817615509034,11.514199999999995,4.51350212097168e-05,11.976199999999999,0.025368378162384034,0.418900000000001,0.058187716007232666,11.514199999999995,2.7844905853271486e-05,18.5324,3.13711166381836e-05,0.014699999999999989,0.010693855285644531
21,32,1111,H100_26H100_27H100_28H100_29,True,1.0883,0.07246928215026856,12.557000000000002,4.6401023864746095e-05,8.508400000000004,0.02368342399597168,1.2268,0.04566871404647827,12.557000000000002,2.830028533935547e-05,14.048800000000004,3.1936168670654294e-05,0.055600000000000024,0.008094692230224609
22,32,1111,H100_26H100_27H100_28H100_29,True,1.8599000000000034,0.08255085945129395,12.4067,4.551887512207031e-05,10.028400000000007,0.02301119565963745,1.8599000000000034,0.05654683113098145,12.4067,2.8221607208251954e-05,12.230100000000002,3.0515193939208983e-05,0.0,0.00993154764175415
23,32,1111,H100_26H100_27H100_28H100_29,True,1.994899999999998,0.08451707124710083,15.1961,5.016803741455078e-05,8.469899999999996,0.02225773811340332,1.9389999999999978,0.058975164890289304,15.1961,3.061532974243164e-05,8.431299999999998,3.637552261352539e-05,0.2298999999999988,0.01086181640625
24,32,1111,H100_26H100_27H100_28H100_29,True,0.9801999999999995,0.0791733455657959,29.045000000000005,4.888534545898437e-05,1.952599999999999,0.024085891246795655,2.9283000000000006,0.0506822657585144,29.045000000000005,3.0333995819091798e-05,11.284800000000004,3.224611282348633e-05,0.024399999999999977,0.009366207122802735
25,32,1111,H100_26H100_27H100_28H100_29,True,0.24239999999999995,0.16688074588775634,29.91089999999999,5.154609680175781e-05,0.3160999999999998,0.01841491460800171,0.2514999999999999,0.15169777631759643,29.91089999999999,3.190517425537109e-05,3.6385999999999994,3.4563541412353515e-05,0.04870000000000005,0.025155739784240724
26,32,1111,H100_26H100_27H100_28H100_29,True,5.2992,0.16888082027435303,27.51600000000001,5.325794219970703e-05,5.1337,0.017644896507263183,5.2992,0.1486339735984802,27.51600000000001,3.305673599243164e-05,8.365399999999996,3.71861457824707e-05,0.0,0.022669408321380615
27,32,1111,H100_26H100_27H100_28H100_29,True,22.11720000000001,0.09202093124389649,16.9896,5.004167556762695e-05,20.029100000000007,0.013120689392089845,22.11720000000001,0.07589083909988403,16.9896,3.095149993896484e-05,9.656900000000002,3.298282623291016e-05,0.0,0.012505285739898682
28,32,1111,H100_26H100_27H100_28H100_29,True,2.5074000000000036,0.1345587658882141,9.238299999999999,4.9467086791992185e-05,1.8828000000000038,0.029876666069030763,2.5839000000000034,0.09647398471832275,9.238299999999999,3.139019012451172e-05,5.4144999999999985,3.331899642944336e-05,0.0,0.0061090803146362305
29,32,1111,H100_26H100_27H100_28H100_29,True,6.167600000000006,0.13926918268203736,7.908000000000007,4.9409866333007815e-05,6.167600000000006,0.02385710000991821,6.167600000000006,0.10974334716796875,7.908000000000007,3.096342086791992e-05,2.803200000000002,3.238201141357422e-05,0.0,0.005077888965606689
30,32,1111,H100_26H100_27H100_28H100_29,True,0.0,0.09823837041854859,2.5536000000000056,4.881381988525391e-05,0.0,0.016876029968261718,0.0,0.07765153646469117,2.5536000000000056,3.131866455078125e-05,0.6783000000000016,3.251552581787109e-05,0.0,0.002940711975097656
31,32,1111,H100_26H100_27H100_28H100_29,True,0.0,0.035614943504333495,0.0,4.6539306640625e-05,0.0,0.0066805100440979,0.0,0.030765986442565917,0.0,3.119945526123047e-05,0.0,3.228425979614258e-05,0.0,0.0011412525177001954
