,test_num,total_gpu,bw_type,cluster_type,if_dynamic,BandDisp,Default,Tree_search,EHA,UpperBandDisp,Topo,Random,BandDisp_time,Default_time,Tree_search_time,EHA_time,UpperBandDisp_time,Topo_time,Random_time,Predict_time
2,2,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,100.0,100.0,100.0,46.39029865313292,0.05796759605407715,0.00011717796325683594,0.0550309419631958,0.0016393518447875976,0.005369582176208496,0.002725234031677246,8.478164672851563e-05,0.09914231777191163
3,3,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,73.67199011967124,100.0,100.0,100.0,33.85063349653542,0.05800380229949951,0.00012392997741699218,0.05647993087768555,0.0005875253677368165,0.005810451507568359,0.009856948852539063,9.253501892089844e-05,0.09827945709228515
4,4,32,20,H100_26H100_27H100_28H100_29,True,96.28187225239202,96.28187225239202,74.5909424194263,98.17015774502197,100.0,98.17015774502197,30.283622980783885,0.05239503383636475,0.00012864112854003905,0.04944102764129639,0.001874227523803711,0.005416088104248047,0.019414191246032716,8.519172668457031e-05,0.08815271854400634
5,5,32,20,H100_26H100_27H100_28H100_29,True,92.99375416150237,92.15514044738664,54.00204087082905,93.10545887252714,100.0,93.10545887252714,33.8313842033814,0.13215468883514403,0.00014987945556640625,0.11860604763031006,0.004017024040222168,0.013635482788085938,0.02309380054473877,0.00010011196136474609,0.21566447734832764
6,6,32,20,H100_26H100_27H100_28H100_29,True,92.80322565204446,81.04923730947965,68.229545891543,92.77253041128598,100.0,84.89855298144695,34.61256355425693,0.133116192817688,0.00016051769256591797,0.11567920207977295,0.005148258209228516,0.01370607852935791,0.015195374488830566,0.0001009511947631836,0.21477391719818115
7,7,32,20,H100_26H100_27H100_28H100_29,True,95.00831523217948,74.26489642495463,54.33473616943492,96.02940439395206,100.0,84.09628222841704,34.19193159776605,0.13591922283172608,0.0001715850830078125,0.11340776920318603,0.007424116134643555,0.014126048088073731,0.00589078426361084,0.00010110855102539062,0.21653589725494385
8,8,32,20,H100_26H100_27H100_28H100_29,True,98.57277259004422,54.823223534723994,72.5248027867568,97.64937385130193,100.0,72.44500198782245,37.478394651058615,0.14262063980102538,0.00021938800811767577,0.11262121677398682,0.011031408309936524,0.014555315971374511,0.0009843826293945313,0.00010395050048828125,0.22496985912322998
9,9,32,20,H100_26H100_27H100_28H100_29,True,100.0,38.88948224430803,60.1979513943207,98.37308699848337,100.0,60.75460287823716,40.677492918708055,0.22162841796875,0.00022312164306640626,0.1815801429748535,0.014940338134765625,0.025345048904418944,5.524158477783203e-05,0.0001151132583618164,0.3466136789321899
10,10,32,20,H100_26H100_27H100_28H100_29,True,98.19397731485756,43.09986960394853,61.59621294928495,98.14930037437969,99.72910216718269,75.22082216009595,49.21691304891124,0.22027611255645752,0.00023457050323486328,0.17955551147460938,0.014811501502990723,0.025320916175842284,5.587577819824219e-05,0.00011756420135498047,0.3433187294006348
11,11,32,20,H100_26H100_27H100_28H100_29,True,95.5600133734537,45.57336149466833,60.35018272245475,95.5600133734537,98.40160481444333,85.93379472324277,48.61513717224456,0.2192390489578247,0.00023127079010009765,0.17856282711029053,0.015210332870483399,0.02621987819671631,5.6352615356445316e-05,0.00011801719665527344,0.33980918884277345
12,12,32,20,H100_26H100_27H100_28H100_29,True,98.39934175878935,46.21017990943723,71.63079416853797,97.39064234464244,99.3361258751437,87.85039360459874,51.66284770951148,0.20743109703063964,0.0002309751510620117,0.16755265712738038,0.014372310638427734,0.02546802520751953,5.68389892578125e-05,0.0001162099838256836,0.3184527349472046
13,13,32,20,H100_26H100_27H100_28H100_29,True,99.39861134569347,46.33612185921568,66.36734342153622,98.748161599154,99.55582577934997,86.85668059261525,52.32171741131124,0.20912181854248046,0.00023518562316894533,0.16893210887908935,0.014643716812133788,0.026944499015808105,5.780220031738281e-05,0.00011456012725830078,0.31811612606048584
14,14,32,20,H100_26H100_27H100_28H100_29,True,96.89246831720929,52.54439140601959,66.46968897521475,97.51025656120892,98.96479003901226,88.80311726605966,56.29398396191924,0.2043473482131958,0.0002375364303588867,0.16488955020904542,0.014511232376098632,0.026854000091552734,5.897045135498047e-05,0.00011678695678710937,0.30994476795196535
15,15,32,20,H100_26H100_27H100_28H100_29,True,98.37288455529072,53.168338003529904,70.50456704690768,97.64437866634773,98.98916551912076,85.88765528541691,59.9632501814867,0.1961606740951538,0.00024140834808349609,0.15632601261138915,0.014408841133117675,0.025844979286193847,5.9123039245605466e-05,0.00011754512786865234,0.2958124732971191
16,16,32,20,H100_26H100_27H100_28H100_29,True,98.73889389310217,52.27702555953419,74.14885020131595,97.49823558182082,99.50452536308144,82.56260027028009,62.63171248258572,0.1947374725341797,0.00024193763732910156,0.1545964002609253,0.01435837745666504,0.026374573707580565,6.071090698242187e-05,0.0001180553436279297,0.29139702320098876
17,17,32,20,H100_26H100_27H100_28H100_29,True,95.95046836620962,65.77293561334632,87.60711964001973,94.33272494503788,96.56246498414133,66.33204309155724,74.33961097853913,0.17943256855010986,0.00024289608001708984,0.14010001182556153,0.015022683143615722,0.0248891544342041,6.183624267578125e-05,0.00011730194091796875,0.2667106342315674
18,18,32,20,H100_26H100_27H100_28H100_29,True,98.36562126037563,63.2954920727959,83.53615487356085,96.84035947825554,100.0,72.42682191766535,73.42212569682104,0.15630457878112794,0.00024327278137207032,0.11896655559539795,0.014429469108581543,0.02108712673187256,6.166934967041016e-05,0.00011631965637207031,0.2324436616897583
19,19,32,20,H100_26H100_27H100_28H100_29,True,99.72185088507729,65.08893898283591,86.05991113761405,97.18428209335053,100.0,81.42879731476764,78.73032286849248,0.14940412521362303,0.00024381637573242187,0.11170886039733886,0.014749040603637695,0.02055938243865967,6.186962127685547e-05,0.00011667728424072266,0.2202548837661743
20,20,32,20,H100_26H100_27H100_28H100_29,True,99.58053719629406,73.33199207816588,88.61420183041348,96.1468476706155,100.0,86.73579204442758,81.73339210477855,0.14353227615356445,0.00024709224700927737,0.10555357933044433,0.014605636596679688,0.0198667573928833,6.203651428222656e-05,0.00011838912963867188,0.2100492811203003
21,21,32,20,H100_26H100_27H100_28H100_29,True,98.5864185279262,81.58328104309194,91.74263068521932,96.42442836463371,99.68527327443938,86.6769978079815,88.26357648578686,0.13134904384613036,0.0002476882934570313,0.09411349296569824,0.01408846378326416,0.017894949913024902,6.220817565917969e-05,0.00011707305908203125,0.1914091682434082
22,22,32,20,H100_26H100_27H100_28H100_29,True,97.6585645437899,85.16747212690397,90.07165359855888,95.44165532688066,99.78958936990323,87.9029799029799,87.11623866673362,0.12552894115448,0.0002535247802734375,0.08881701469421387,0.01429800033569336,0.01755819797515869,6.468772888183594e-05,0.00011655330657958985,0.18173018455505371
23,23,32,20,H100_26H100_27H100_28H100_29,True,98.28963540535811,89.90765473157677,90.46784130541832,97.75044995604267,99.29839908789481,88.32537055869874,89.53361378492457,0.1219816541671753,0.0002543544769287109,0.08505025863647461,0.014133877754211426,0.017167296409606934,6.385326385498047e-05,0.00011710643768310547,0.17531850814819336
24,24,32,20,H100_26H100_27H100_28H100_29,True,95.78749081771113,89.53302735740743,98.48133509003074,95.97801240557745,99.65303224149888,75.07011596961188,88.50980059806294,0.11211124897003173,0.0002538204193115234,0.07662266254425049,0.013632383346557617,0.01551745891571045,6.488323211669922e-05,0.00011943340301513672,0.1610685682296753
25,25,32,20,H100_26H100_27H100_28H100_29,True,99.65573327681587,93.69919972984604,99.65573327681587,99.0744842619349,99.82208244411996,66.96227426557085,96.30211169503478,0.10268978118896484,0.0002571821212768555,0.0677573013305664,0.014055852890014648,0.014297537803649903,6.502628326416016e-05,0.0001183938980102539,0.14666879653930665
26,26,32,20,H100_26H100_27H100_28H100_29,True,94.74046272235857,90.33994485039199,94.74046272235857,93.92461329762868,100.0,73.19913052035983,91.84095366113219,0.08657727241516114,0.0002551126480102539,0.05283972263336181,0.014124488830566407,0.011711716651916504,6.545066833496093e-05,0.0001150369644165039,0.12273818016052246
27,27,32,20,H100_26H100_27H100_28H100_29,True,78.92653991817949,94.72716273442225,78.92653991817949,78.3757361644582,100.0,83.60642783616622,90.11462496736897,0.0759635877609253,0.00025608062744140623,0.0433315896987915,0.013850131034851075,0.009787955284118653,6.61468505859375e-05,0.00011452674865722657,0.10754862785339356
28,28,32,20,H100_26H100_27H100_28H100_29,True,97.75675395921746,94.66048606603005,97.75675395921746,97.22451233795805,100.0,90.86626328340013,95.19084120825352,0.06968791961669922,0.00025822162628173827,0.03828184604644776,0.013559575080871583,0.008733530044555664,6.65569305419922e-05,0.0001149892807006836,0.0987278938293457
29,29,32,20,H100_26H100_27H100_28H100_29,True,93.52539261676525,96.9736895778095,93.52539261676525,92.98776259433,100.0,92.47317968590656,96.2163981235978,0.05997254848480225,0.0002572202682495117,0.029962244033813475,0.013999447822570801,0.007320499420166016,6.732940673828124e-05,0.0001138925552368164,0.08501707077026367
30,30,32,20,H100_26H100_27H100_28H100_29,True,100.0,99.25713694662805,100.0,100.0,100.0,97.35870914356643,99.25713694662805,0.04421072959899902,0.00025473594665527345,0.017978410720825195,0.014042534828186036,0.00497507095336914,6.893634796142578e-05,0.00011004924774169921,0.06356913089752197
31,31,32,20,H100_26H100_27H100_28H100_29,True,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.03127085685729981,0.0002541017532348633,0.009849705696105958,0.013840312957763673,0.003046560287475586,6.81161880493164e-05,0.00010447978973388673,0.04732011318206787
