test_num,repeat,algo,result,bw
6,37,upper_BandDisp,[0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0],113.87
6,37,Max_bw,"[4, 2]",113.87
6,43,myalgo,[0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],39.38
6,43,upper_BandDisp,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0],76.29
6,43,Max_bw,"[4, 2]",76.29
6,44,myalgo,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0],39.38
6,44,upper_BandDisp,[1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0],113.87
6,44,Max_bw,"[4, 2]",113.87
7,1,myalgo,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],40.49
7,1,upper_BandDisp,[0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0],119.71
7,1,Max_bw,"[3, 3, 1]",119.71
7,5,myalgo,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 0],40.49
7,5,upper_BandDisp,[0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0],119.71
7,5,Max_bw,"[3, 3, 1]",119.71
7,26,myalgo,[1 1 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0],36.67
7,26,upper_BandDisp,[1 1 0 0 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],74.92
7,26,Max_bw,"[3, 3, 1]",74.92
7,27,myalgo,[0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0],40.49
7,27,upper_BandDisp,[0 0 0 0 1 1 1 1 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],119.71
7,27,Max_bw,"[3, 3, 1]",119.71
8,1,myalgo,[0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],40.79
8,1,upper_BandDisp,[0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0],142.43
8,1,Max_bw,"[4, 2, 2]",142.43
8,14,myalgo,[0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],41.14
