OP,GPU_num,GPU_used,data_size(B),Bandwidth(GB/s)
all_reduce_perf,4,0457,2147483648,361.41
all_reduce_perf,4,0467,2147483648,360.86
all_reduce_perf,4,0567,2147483648,360.12
all_reduce_perf,4,1234,2147483648,360.38
all_reduce_perf,4,1235,2147483648,360.45
all_reduce_perf,4,1236,2147483648,361.57
all_reduce_perf,4,1237,2147483648,360.20
all_reduce_perf,4,1245,2147483648,360.16
all_reduce_perf,4,1246,2147483648,361.48
all_reduce_perf,4,1247,2147483648,360.30
all_reduce_perf,4,1256,2147483648,358.90
all_reduce_perf,4,1257,2147483648,361.73
all_reduce_perf,4,1267,2147483648,361.18
all_reduce_perf,4,1345,2147483648,360.69
all_reduce_perf,4,1346,2147483648,360.59
all_reduce_perf,4,1347,2147483648,360.12
all_reduce_perf,4,1356,2147483648,361.50
all_reduce_perf,4,1357,2147483648,360.78
all_reduce_perf,4,1367,2147483648,360.85
all_reduce_perf,4,1456,2147483648,360.59
all_reduce_perf,4,1457,2147483648,360.19
all_reduce_perf,4,1467,2147483648,360.89
all_reduce_perf,4,1567,2147483648,359.80
all_reduce_perf,4,2345,2147483648,361.54
all_reduce_perf,4,2346,2147483648,361.17
all_reduce_perf,4,2347,2147483648,361.67
all_reduce_perf,4,2356,2147483648,361.52
all_reduce_perf,4,2357,2147483648,360.51
all_reduce_perf,4,2367,2147483648,360.61
all_reduce_perf,4,2456,2147483648,361.69
all_reduce_perf,4,2457,2147483648,359.95
all_reduce_perf,4,2467,2147483648,360.46
all_reduce_perf,4,2567,2147483648,360.15
all_reduce_perf,4,3456,2147483648,361.61
all_reduce_perf,4,3457,2147483648,361.06
all_reduce_perf,4,3467,2147483648,361.75
all_reduce_perf,4,3567,2147483648,360.99
all_reduce_perf,4,4567,2147483648,360.65
all_reduce_perf,5,01234,2147483648,410.29
all_reduce_perf,5,01235,2147483648,411.39
all_reduce_perf,5,01236,2147483648,410.63
all_reduce_perf,5,01237,2147483648,412.44
all_reduce_perf,5,01245,2147483648,410.63
all_reduce_perf,5,01246,2147483648,407.23
all_reduce_perf,5,01247,2147483648,407.73
all_reduce_perf,5,01256,2147483648,407.91
all_reduce_perf,5,01257,2147483648,406.06
all_reduce_perf,5,01267,2147483648,407.30
all_reduce_perf,5,01345,2147483648,410.20
all_reduce_perf,5,01346,2147483648,408.37
all_reduce_perf,5,01347,2147483648,407.10
all_reduce_perf,5,01356,2147483648,406.78
all_reduce_perf,5,01357,2147483648,407.85
all_reduce_perf,5,01367,2147483648,407.24
all_reduce_perf,5,01456,2147483648,409.06
all_reduce_perf,5,01457,2147483648,407.49
all_reduce_perf,5,01467,2147483648,406.42
all_reduce_perf,5,01567,2147483648,407.09
all_reduce_perf,5,02345,2147483648,410.41
all_reduce_perf,5,02346,2147483648,410.31
all_reduce_perf,5,02347,2147483648,410.05
all_reduce_perf,5,02356,2147483648,409.28
all_reduce_perf,5,02357,2147483648,411.69
all_reduce_perf,5,02367,2147483648,408.68
all_reduce_perf,5,02456,2147483648,408.11
all_reduce_perf,5,02457,2147483648,411.11
all_reduce_perf,5,02467,2147483648,409.81
all_reduce_perf,5,02567,2147483648,409.20
all_reduce_perf,5,03456,2147483648,408.98
all_reduce_perf,5,03457,2147483648,411.05
all_reduce_perf,5,03467,2147483648,407.68
all_reduce_perf,5,03567,2147483648,407.32
all_reduce_perf,5,04567,2147483648,408.39
all_reduce_perf,5,12345,2147483648,411.01
all_reduce_perf,5,12346,2147483648,410.67
all_reduce_perf,5,12347,2147483648,411.34
all_reduce_perf,5,12356,2147483648,409.28
all_reduce_perf,5,12357,2147483648,408.69
all_reduce_perf,5,12367,2147483648,411.50
all_reduce_perf,5,12456,2147483648,410.57
all_reduce_perf,5,12457,2147483648,410.33
all_reduce_perf,5,12467,2147483648,411.62
all_reduce_perf,5,12567,2147483648,409.83
all_reduce_perf,5,13456,2147483648,405.16
all_reduce_perf,5,13457,2147483648,411.25
all_reduce_perf,5,13467,2147483648,406.87
all_reduce_perf,5,13567,2147483648,407.54
